id,name,slug,city,country_id,company_id,company_name,status,created_at
93,Viivra Studio,viivra-studio,,,85,Viivra Studio,active,2023-08-25
92,Voltio,voltio,,,84,Voltio,active,2023-08-24
91,Séntro mind &wellness,sentro-mind-wellness,,,83,Séntro mind &wellness,active,2023-07-28
90,Control Room Prado Norte,control-room-polanco,,,82,Control Room,active,2023-07-11
88,Casa Barre,casa-barre,,,81,Casa Barre,active,2023-07-07
87,Soul Studio Santa Fe,soul-studio-santa-fe,,,57,soulstudio,active,2023-07-07
86,Fitspin Cdmx,fitspin,CDMX,136,80,Fitspin,active,2023-06-27
85,THE MAT STUDIO,the-mat-studio,,,79,THE MAT STUDIO,active,2023-06-12
84,Side to Side,side-to-side,,,78,Side to Side,active,2023-05-30
83,Marca de Pruebas,marca-de-pruebas,,,77,Compañía de Pruebas,active,2023-05-12
82,Casa Mila,casa-mila,NAUCALPAN DE JUÁREZ,136,76,Casa Mila,active,2023-03-21
81,ElParque Polanco,el-parque-polanco,,,22,ElParque,active,2023-02-27
80,ElParque Pedregal,el-parque-pedregal,,,22,ElParque,active,2023-02-27
79,ElParque Arcos Bosques,el-parque-interlomas,,,22,ElParque,active,2023-02-27
78,Test Brand,test-brand,,136,75,Test,active,2023-02-14
77,Race Lab,race-lab,,,74,Race Lab,active,2022-09-23
76,Bliss Wellness Center,bliss-wellness-center,,,73,Bliss Wellness Center,active,2022-09-20
75,RILA STUDIO,rila-studio,,,72,RILA STUDIO,active,2022-09-19
74,L Barré Studio,l-barre-studio,,,71,L Barré Studio,active,2022-09-09
73,Beyond Ice Fitness,beyond-ice-fitness,,,70,Beyond Ice Fitness,active,2022-08-25
72,Sandy Get Fit,sandy-get-fit,,,69,SandyGetFit,active,2022-08-15
71,PI5OCINCO,piso-5,,,68,PI5OCINCO,active,2022-08-02
70,Bounce,bounce,,,67,Bounce,active,2022-06-15
69,Jarana Studio,cyclone-studio,,,66,Jarana Studio,active,2022-04-25
68,Control Room Polanco,two-battles,,,65,Control Room Polanco,active,2022-04-05
67,Confidance,confidance,Giadalajara,136,64,Confidance,active,2022-03-24
66,Lomas Gym,lomas-gym,,,63,Lomas Gym,active,2022-02-17
65,Utopia,utopia,,136,62,Utopia,active,2022-01-25
64,Equilibrium,equilibrium,,,61,Equilibrium,active,2021-12-17
63,RBL,rbl-1,,,60,REBL,active,2021-11-12
62,360 Indoor Cycling,360-indoor-cycling,,,59,360 Indoor Cycling,active,2021-11-09
61,360cycle,360cycle,,,58,360cycle,active,2021-11-09
60,soul studio zona esmeralda,soul-studio,,,57,soulstudio,active,2021-10-29
59,DS Pilates,ds-pilates,Nuevo Laredo,136,56,DS Pilates,active,2021-10-14
58,Mahat yoga,mahat-yoga,,,55,Mahat yoga,active,2021-09-08
57,Bodhi 108,bohdi,,,54,Bodhi108 Santa Fe,active,2021-08-25
56,suus,suus,,,53,SUUS,active,2021-08-24
55,PLT Studio,plt-studio,,,52,PLT Studio,active,2021-08-12
54,Krdio,krdio,,,51,krdio,active,2021-08-11
53,The Clubhouse,the-clubhouse,,,50,The Clubhouse,active,2021-07-30
52,The Clubhouse,club-house,,136,49,The Clubhouse,active,2021-07-30
51,Glam Ride,glam-ride,,,48,GLAM RIDE,active,2021-07-28
50,Calma,calma,Cuauhtemoc,136,47,Calma,active,2021-07-12
49,clubhouse,clubhouse,,,46,CLUBHOUSE,active,2021-06-16
48,Mamba,mamba,,,45,Mamba,active,2021-06-07
47,Revolution 2.0,revolution-20,,,44,Revolution 2.0,active,2021-06-01
46,Alma Ride,alma-ride,,,43,ALMA RIDE,active,2021-05-24
45,Encore,core-collective,,136,42,Encore,active,2021-04-21
44,Aquara Kids Tlaxcala,aquara,Tlaxcala,136,41,Aquara,active,2021-03-30
43,Gfit,gfit,,,40,gfit,active,2021-03-25
42,Roda Cycling,roda-cycling,Adolfo López Mateos,136,39,Roda Cycling,active,2021-03-25
41,SUPA,supa,,,38,SUPA,active,2021-03-17
40,Lomas Hot Yoga,hot-yoga,Mexico,136,37,Lomas Hot Yoga,active,2021-03-02
39,Revolution,revolution,,,36,Revolution Pop Up,active,2021-03-02
38,RBL,rbl,CDMX,136,35,RBL STUDIO,active,2021-02-19
37,Fyre Studio,fyre-studio,,,34,Fyre Studio,active,2021-02-16
36,Casa Nui,casa-nui,León,136,33,Casa Nui,active,2021-01-05
35,Sky9,sky9,,,32,Sky9,active,2021-01-04
34,Go Goliath,go-goliath,,,31,Go Goliath,active,2020-12-09
33,Studio Indoor Cycle,studio-indoor-cycle,playa del carmen,136,30,Studio Indoor Cycle,active,2020-11-12
32,FORZA SWEAT HOUSE,forza,,,29,Forza,active,2020-10-19
31,Beardman,beardman,,,17,Bibe,active,2020-10-15
30,Pule By Tat,pule-by-tat,,,28,Pule by Tat,active,2020-10-14
29,The Muro,the-muro,CDMX,136,27,The Muro,active,2020-10-07
28,Buq México,buq-mexico,,,26,Buq,active,2020-10-06
26,SUPA,surfit-mx,,,24,Surfit Mx,active,2020-09-20
25,ANS STUDIO,ans-studio,,,23,ANS STUDIO,active,2020-09-15
13,ElParque PEDREGAL,elparque-pedregal,,,21,El Parque,active,2020-08-18
12,Undercover Fitness,undercover-fitness,,,20,Undercover,active,2020-08-03
11,Undercover CrossFit,undercover-crossfit,,,20,Undercover,active,2020-08-03
10,Barre Mx,barre-mx,,,19,Barre MX,active,2020-07-27
9,Bikla,bikla-beatforce,,,18,Bikla,active,2020-07-17
8,Elemental,elemental,,,17,Bibe,active,2020-04-24
7,Vanessa Coppel,vanessa-coppel,,,16,Vanessa Coppel,active,2020-04-13
6,OneTwo,onetwo,Álvaro Obregón,136,13,OneTwo,active,2020-04-06
5,Saude,saude,,,14,Saude,active,2020-03-25
4,PS 360,ps-360,,,12,PS 360,active,2020-03-10
3,Balance Body Barre,balance-body-barre,,,11,Balance Body Barre,active,2020-03-10
2,Amara Yoga Studio,amara-yoga-studio,CDMX,,8,Amara YogaStudio,active,2020-03-04
1,Pablo 1,pablo-1,,,10,Pablo,active,2020-03-04
